Jan. 19, 2017   14:05:09
Amperometric i-t Curve
File: c:\users\nanopittet\desktop\transloc\p9aunp.txt
Data Source:  Experiment
Instrument Model:  CHI1030C
Header: 
Note: 

Init E (V) = -6
Sample Interval (s) = 0.002
Run Time (sec) = 300
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-6


Time/sec, Current/A

1.260e+0, -6.105e-9
1.262e+0, -5.799e-9
1.264e+0, -5.185e-9
1.266e+0, -4.571e-9
1.268e+0, -4.878e-9
1.270e+0, -4.878e-9
1.272e+0, -5.492e-9
1.274e+0, -6.105e-9
1.276e+0, -6.105e-9
1.278e+0, -6.105e-9
1.280e+0, -5.185e-9
1.282e+0, -4.571e-9
1.284e+0, -4.571e-9
1.286e+0, -4.571e-9
1.288e+0, -5.185e-9
1.290e+0, -6.105e-9
1.292e+0, -6.105e-9
1.294e+0, -6.105e-9
1.296e+0, -5.492e-9
1.298e+0, -4.878e-9
1.300e+0, -4.571e-9
1.302e+0, -4.571e-9
1.304e+0, -5.185e-9
1.306e+0, -5.492e-9
1.308e+0, -6.105e-9
1.310e+0, -6.105e-9
1.312e+0, -5.799e-9
1.314e+0, -5.185e-9
1.316e+0, -4.571e-9
1.318e+0, -4.878e-9
1.320e+0, -4.571e-9
1.322e+0, -5.492e-9
1.324e+0, -6.105e-9
1.326e+0, -6.105e-9
1.328e+0, -6.105e-9
1.330e+0, -5.185e-9
1.332e+0, -4.571e-9
1.334e+0, -4.571e-9
1.336e+0, -4.571e-9
1.338e+0, -5.185e-9
1.340e+0, -6.105e-9
1.342e+0, -6.105e-9
1.344e+0, -6.105e-9
1.346e+0, -5.492e-9
1.348e+0, -4.878e-9
1.350e+0, -4.571e-9
1.352e+0, -4.571e-9
1.354e+0, -5.185e-9
1.356e+0, -5.799e-9
1.358e+0, -6.105e-9
1.360e+0, -6.105e-9
1.362e+0, -5.799e-9
1.364e+0, -5.185e-9
1.366e+0, -4.571e-9
1.368e+0, -4.878e-9
1.370e+0, -4.878e-9
1.372e+0, -5.492e-9
1.374e+0, -6.105e-9
1.376e+0, -6.105e-9
1.378e+0, -6.105e-9
1.380e+0, -5.185e-9
1.382e+0, -4.571e-9
1.384e+0, -4.571e-9
1.386e+0, -4.264e-9
1.388e+0, -5.185e-9
1.390e+0, -6.105e-9
1.392e+0, -6.105e-9
1.394e+0, -6.105e-9
1.396e+0, -5.492e-9
1.398e+0, -4.878e-9
1.400e+0, -4.571e-9
1.402e+0, -4.571e-9
1.404e+0, -4.878e-9
1.406e+0, -5.492e-9
1.408e+0, -6.105e-9
1.410e+0, -6.105e-9
1.412e+0, -5.799e-9
1.414e+0, -5.185e-9
1.416e+0, -4.571e-9
1.418e+0, -4.878e-9
1.420e+0, -4.878e-9
1.422e+0, -5.185e-9
1.424e+0, -6.105e-9
1.426e+0, -6.105e-9
1.428e+0, -6.105e-9
1.430e+0, -5.185e-9
1.432e+0, -4.571e-9
1.434e+0, -4.571e-9
1.436e+0, -4.264e-9
1.438e+0, -5.185e-9
1.440e+0, -6.105e-9
1.442e+0, -6.105e-9
1.444e+0, -6.105e-9
1.446e+0, -5.492e-9
1.448e+0, -4.878e-9
1.450e+0, -4.571e-9
1.452e+0, -4.571e-9
